n.arms	t.1	t.2	t.3	t.4	t.5
2	1	6	NA	NA	NA
2	1	7	NA	NA	NA
2	1	8	NA	NA	NA
2	1	8	NA	NA	NA
2	1	8	NA	NA	NA
2	1	8	NA	NA	NA
2	1	8	NA	NA	NA
2	1	21	NA	NA	NA
2	1	24	NA	NA	NA
2	1	30	NA	NA	NA
2	1	31	NA	NA	NA
2	1	34	NA	NA	NA
2	1	34	NA	NA	NA
2	2	9	NA	NA	NA
2	2	9	NA	NA	NA
2	2	10	NA	NA	NA
2	2	11	NA	NA	NA
2	2	12	NA	NA	NA
2	2	13	NA	NA	NA
2	2	13	NA	NA	NA
2	2	14	NA	NA	NA
2	2	15	NA	NA	NA
2	2	16	NA	NA	NA
2	2	17	NA	NA	NA
2	2	17	NA	NA	NA
2	2	17	NA	NA	NA
2	2	17	NA	NA	NA
2	2	17	NA	NA	NA
2	2	18	NA	NA	NA
2	2	18	NA	NA	NA
2	2	18	NA	NA	NA
2	2	18	NA	NA	NA
2	2	18	NA	NA	NA
2	2	19	NA	NA	NA
2	2	19	NA	NA	NA
2	2	21	NA	NA	NA
2	2	22	NA	NA	NA
2	2	22	NA	NA	NA
2	2	22	NA	NA	NA
2	2	23	NA	NA	NA
2	3	29	NA	NA	NA
2	3	30	NA	NA	NA
2	3	31	NA	NA	NA
2	4	27	NA	NA	NA
2	6	6	NA	NA	NA
2	6	8	NA	NA	NA
2	8	8	NA	NA	NA
2	8	30	NA	NA	NA
2	8	31	NA	NA	NA
2	18	39	NA	NA	NA
2	21	31	NA	NA	NA
2	21	38	NA	NA	NA
2	24	25	NA	NA	NA
2	24	30	NA	NA	NA
2	24	30	NA	NA	NA
2	24	30	NA	NA	NA
2	26	28	NA	NA	NA
2	26	35	NA	NA	NA
2	27	30	NA	NA	NA
2	27	31	NA	NA	NA
2	30	30	NA	NA	NA
2	30	30	NA	NA	NA
2	30	33	NA	NA	NA
2	31	31	NA	NA	NA
2	35	35	NA	NA	NA
3	1	5	7	NA	NA
3	1	5	8	NA	NA
3	1	6	8	NA	NA
3	1	14	30	NA	NA
3	1	24	30	NA	NA
3	1	24	31	NA	NA
3	1	24	36	NA	NA
3	1	28	33	NA	NA
3	1	29	33	NA	NA
3	1	29	35	NA	NA
3	1	30	33	NA	NA
3	1	31	31	NA	NA
3	1	35	35	NA	NA
3	1	36	36	NA	NA
3	2	9	18	NA	NA
3	2	16	36	NA	NA
3	2	18	18	NA	NA
3	2	18	18	NA	NA
3	2	18	19	NA	NA
3	2	18	19	NA	NA
3	2	19	19	NA	NA
3	2	22	23	NA	NA
3	2	22	35	NA	NA
3	3	30	32	NA	NA
3	6	8	8	NA	NA
3	22	35	40	NA	NA
4	1	5	30	30	NA
4	2	2	13	13	NA
4	2	3	23	31	NA
4	2	20	23	31	NA
4	2	23	31	41	NA
4	3	24	24	24	NA
4	5	7	8	8	NA
5	2	15	15	15	18
5	2	16	30	30	37
